,Job Title,Location,Date,Link,Job Description,Other Job Attributes
223,Project scheduling and Dispatch,N/A,Feb  8,https://houston.craigslist.org/ofc/d/houston-project-scheduling-and-dispatch/7274423080.html,"

QR Code Link to This Post


We are looking for a trainable person to come in with a great attitude and personality to handle a large volume of phone calls. 

Job Duties include: 
-Scheduling one day projects with customers 
-Creating work orders for multiple crew members 
-Maintaining communication with projects/customers. 
-Receive inbound calls from customers
-Updating spreadsheets with job status 
-Request inspection from different city jurisdictions.

You will need to be able to handle all kinds of calls and find a solution for the customer. 





Our company is growing beyond belief and there will be plenty of room for advancement within the Company. We typically have a 40-hour work week, but there are times we will need you on some evenings and weekends.

Company Benefits
Health Care available after 90 days (Company pays half of employees cost)
Matching 401K
Many other perks with this type of business

Pay begins entry-level at 12$ hr.

We are a young company with unlimited potential for growth and looking for someone to bring in an train. Some work experience required.


Send resume in to be considered.
","
compensation: 12$ hourly entry level

employment type: full-time

"
224,Project scheduling and Dispatch,N/A,Feb  8,https://houston.craigslist.org/csr/d/houston-project-scheduling-and-dispatch/7274423082.html,"

QR Code Link to This Post


We are looking for a trainable person to come in with a great attitude and personality to handle a large volume of phone calls. 

Job Duties include: 
-Scheduling one day projects with customers 
-Creating work orders for multiple crew members 
-Maintaining communication with projects/customers. 
-Receive inbound calls from customers
-Updating spreadsheets with job status 
-Request inspection from different city jurisdictions.

You will need to be able to handle all kinds of calls and find a solution for the customer. 





Our company is growing beyond belief and there will be plenty of room for advancement within the Company. We typically have a 40-hour work week, but there are times we will need you on some evenings and weekends.

Company Benefits
Health Care available after 90 days (Company pays half of employees cost)
Matching 401K
Many other perks with this type of business

Pay begins entry-level at 12$ hr.

We are a young company with unlimited potential for growth and looking for someone to bring in an train. Some work experience required.


Send resume in to be considered.
","
compensation: 12$ hourly entry level

employment type: full-time

"
225,Fiberglass Manufacturing Opportunities,Houston,Feb  8,https://houston.craigslist.org/mnu/d/houston-fiberglass-manufacturing/7274422829.html,"

QR Code Link to This Post


Fiberglass Manufacturing Opportunities / Fiberglass Handling - Houston, TX (Temp to Hire)

Forklift Opportunities also Available (MUST HAVE 2 years recent experience operating Sit Down and/or Stand up Reach Trucks.

Shifts
1st Shift: 5am - 1pm or 6am - 2:30pm
2nd Shift: 1pm - 9pm or 1:45pm - 9:45pm
3rd Shift: 9pm - 5am or 9:45pm - 5:45am

Pay Rate: 11hr - 14hr Depending on Department, Shift, and Experience

Summary

Candidate must be able to work in a non-climate controlled environment.
Must be able to work with or around fiberglass.
Must be able to work shift with overtime as needed - Up to 7 day work weeks
If applying for a forklift opportunity, candidate must be able to pass forklift testing (written and computer) prior to interviewing for any forklift position.
If a job offer is made, candidates MUST PASS a 7 Year background check and drug test.

Applications are accepted via Resume or as Walk-in Applicants at:
NESC Staffing - 4715 Strack Rd. Houston TX 77069
Quietflex Manufacturing - 4518 Brittmoore Rd. Houston TX 77041

No Appointment Needed for walk-in applicants at NESC Staffing - Application hours are Monday through Friday from 9am to 3pm.    ","
compensation: 11hr - 14hr Depending on Experience

employment type: contract

"
226,OTR/Regional Milk Haulers Needed - Sign-On Bonus $2000,N/A,Feb  8,https://houston.craigslist.org/trp/d/houston-otr-regional-milk-haulers/7274422464.html,"

QR Code Link to This Post


OTR/Regional Milk Haulers Needed Immediately!

Red Stag is Busy! We are a Pro-Driver friendly company based out of Cresson, Texas looking to hire Class A CDL drivers with 1- year tanker experience and 2 years verifiable tractor-trailer experience.  

 All freight is 100% no touch! 

FLEXIBLE HOME TIME! 

Call for more information.

The Benefits of working with Red Stag
Eligible for health benefits - Medical, Dental & Vision 
Company Paid Life Insurance
Ancillary benefits
Paid Vacation
Holiday Pay
Potential to Grow with an Expanding Company

Requirements:
23 years of age or older
At Least 1 Year Tanker Experience/2 years commercial driving experience
Tanker Endorsement
No DUI/DWI last 5 years
Clean MVR (No more than 2 moving vehicle violations in the past 3 years).
Drug-Free Workplace

Other
Background checks are processed on all candidates
Hiring decisions are made on a case-by-case basis

For more information call Craig Shaum @ 817.894.2444 or send resume to craig.shaum@redstaglogistics.com

You can apply online at www.redstaglogistics.com 

Don't let this opportunity pass you by. Come join the Red Stag TEAM today!!

We offer equal employment opportunities to all persons without regard to race, religion, age, marital status, veteran status, sex, national origin, disability, or any other legally protected status.
","
compensation: $0.47 per mile plus Sign-on bonus of $2000

employment type: full-time

"
227,OTR CDL Truck Driver .65c-70c (wheeling IL ),wheeling,Feb  8,https://houston.craigslist.org/trp/d/wheeling-otr-cdl-truck-driver-65c-70c/7274422163.html,"

QR Code Link to This Post


CDL A Truck Driver 

Compensation
65-70cpm
Employment Type
Full-Time 

We are seeking a CDL A Truck Driver to join our team! You will be responsible for safely operating a truck with a capacity of at least 26,000 - 80,000 pounds Gross Vehicle Weight (GVW).
Responsibilities:
Safely operate a heavy or tractor-trailer truck

Properly track and document activity log

Report any issues or incidents to dispatch

Inspect truck before and after trip

Mostly Midwest Routes

Qualifications:

Previous experience in truck driving or other related fields - at least 1 year
Commercial driver's license - CDL A License
Be able to pass drug test
Strong work ethic

Pay:
Full time
Dry Van
.65-.70cents per mile



No pets


 Call 708-860-8860 ED
","
compensation: 65-70cpm

employment type: full-time

"
228,Assistant. Bilingual,N/A,Feb  8,https://houston.craigslist.org/ofc/d/houston-assistant-bilingual/7274421568.html,"

QR Code Link to This Post


Looking for a friendly assistant to help with our office. Bilingual
Basic computer use. No experience required.
Full time or part time.
Please respond with resume.    ","
compensation: $10-11

employment type: full-time

"
229,CDL DRIVERS NEEDED CONTAINERS,HOUSTON TX,Feb  8,https://houston.craigslist.org/trp/d/houston-cdl-drivers-needed-containers/7274421185.html,"

QR Code Link to This Post


CDL DRIVERS NEEDED IT FOR CONTAINERS 

REQUIREMENTS:

TWIC 
2YRS EXPERIENCE 
CURRENT MEDICAL CARD 
CLEAN DRIVING RECORD
BACKGROUND CHECK 


HAVE 3 TRUCKS AVAILABLE 
(call for details 50% $$) 
OR text 
832-770-1990 




","
compensation: WILL DISCUSS UPON REQUEST

employment type: contract

"
230,Maintenance Tech Sub-Contractors,Houston,Feb  8,https://houston.craigslist.org/trd/d/houston-maintenance-tech-sub-contractors/7274420999.html,"

QR Code Link to This Post


We are looking for seasoned experienced Maintenance Techs for the Houston area to handle several of our apartment communities for after hours and emergency calls.
There are 6 properties in Houston, 1 in Texas City
Must have 5+ years experience as a lead tech in the multi-housing industry.
Our candidate must have a strong background in HVAC repair, plumbing, appliance repair, and troubleshooting.
This is a ON-CALL Position (after hours emergency) plus weekends.
Must have all tools including gauges, electrical tools and hand tools. Must have reliable transportation that can carry all your tools and supplies. Have a valid driver's license/with insurance. EPA and TDLR certified
Must have a great attitude & professional appearance.
Must have a good knowledge of the Houston area.
This is a great opportunity to supplement your income. Please send detailed resume with contact information.
This is a 1099 position

We pay twice a month on the 1st and the 15th via direct deposit    ","
compensation: $35.00 an hour and a $30.00 Trip charge (2 hour minimum per call)

employment type: contract

"
231,AUTO DETAILER NEEDED,houston,Feb  8,https://houston.craigslist.org/lab/d/stafford-auto-detailer-needed/7274420324.html,"

QR Code Link to This Post


Ultimate Motorsport esta creciendo de nuevo. 
Estamos buscando un trabajador para detallista de carros: 
1. Debe tener experiencia de limpieza y detallando carros
2. Debe hablar español 
3. Ser capaz de trabajar afuera durante muchas horas seguidas 
4. El horario es de 9 am a 7 pm lunes a Viernes, de 10 am a 5 pm el Sabado 
Por favor llame o mande un texto (832) 860-2477

Ultimate Motorsport is growing again. 
We have a job opening for a auto detailer:
1. Must have previous experience cleaning and detailing cars
2. Must speak Spanish
3. be able to work outside for extended hours
4. Hours are 9am to 7pm weekdays, 10am to 5pm saturday
Please call (832) 860-2477
","
compensation: NEGOTIABLE PER CAR OR PER HOUR

employment type: full-time

"
232,CDL CLASS A DRIVER NEEDED,N/A,Feb  8,https://houston.craigslist.org/trp/d/houston-cdl-class-driver-needed/7274419696.html,"

QR Code Link to This Post


Driver needed for 53 foot dry van,
Full time employment must have positive personality, , clean driving record and be able to pass drug test, 
Must have at least 2 years OTR experience,
No accidents in the last 2 years
ELD Installed,
We Pay .50 CENT PER MILE 
No hidden fees, 
Cash advances available,
We pay direct deposit, weekends at home
Sam 832-938-1616    ","
compensation: .50cpm

employment type: full-time

"
233,Pawn Broker/Sales Associate,Webster/Clear Lake,Feb  8,https://houston.craigslist.org/ret/d/webster-pawn-broker-sales-associate/7274419155.html,"

QR Code Link to This Post


We are currently looking for an energetic and customer service oriented person to join our team!

MUST:  Bilingual
            Be able to lift at least 50lbs
            Moderate typing skills
            Be able to pass a background check
            Have their own transportation
            Dependable and Trustworthy

Pay is hourly and based on experience ($10-$12/hour plus commission!) We are a small, tight knit store. We enjoy working here, we have a lot of fun, and have a family-like relationship with each other. If this sounds like a fit for you, please message us.
","
compensation: 10-12 per hour plus commission

employment type: full-time

"
234,FLYER DISTRIBUTION / REPARTIDORES DE VOLANTES (HOUSTON),"Houston, TX",Feb  8,https://houston.craigslist.org/lab/d/houston-flyer-distribution-repartidores/7274419122.html,"

QR Code Link to This Post


We are looking for 5 flyer distributers to pass out flyers in Apartments. We provide transportation from the office to job sites and back to the office. Hours are from 8:30am-3pm Monday - Friday. We pay weekly!!! If interested call or text 281.512.7351 to set up an appointment. 

Estamos ocupando Repartidores de Volantes en apartamentos ! Lunes A Viernes de 8:30am - 3PM. Se paga semanal ! Ofrecemos transporte de la oficina a los apartamentos y de regreso a la officina. Llamar o Text a 281.512.7351
Documentos No Necessarios !

","
compensation: Weekly $300.00

employment type: contract

"
235,✅OWNER OPERATORS WANTED $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,N/A,Feb  8,https://houston.craigslist.org/trp/d/houston-owner-operators-wanted/7274418401.html,"

QR Code Link to This Post


100% OWNER OPERATOR COMPANY

ONLINE ORIENTATION!

•DRY VAN LOADS 53ft
BRAND NEW TRAILER!!!
•TRAILER or POWER ONLY!!!
•WITH YOUR TRAILER OPTION !!!
•With your or with our Trailer-option!
•OTR LOADS!
•NO FORCED DISPATCH!!!

SOLO WEEKLY GROSS $6,000-$10,000
 $2 up to $4 loads
 (In the current market)
•DIRECT DEPOSIT WEEKLEY

•TEAM DETAILS:
•Over the road
•WEEKLY GROSS $10000-$18000
In the current market
•Dedicate routes
All year contract $13000-$14000 per week

•Dispatch 24/7 support
•Dispatch fee 12%
•Fuel card
•Rate confirmation with every load
•Your decision Where and When!!!
•Dry Van Loads-no touch
•Detention pay
•Layover pay
•Cash Advance
•Plate program
•Brand new 2019/2020 trailers or
•POWER ONLY LOADS-No Trailer Fees!

•Call Mike 773-683-1392

•DRY VAN LOADS no touch
•24/7 Truck,trace support
•24/7 dispatch support

•SAFETY BONUS !!!

•BUY OR LEASE TRUCK WITH US
 $0 DOWN PAYMENT for lease,
•Buy option $3000 
•Buy option $850 per week
•Lease $1400 per week(maintenance included)
2015,2016,2017,2018 trucks
VOLVO TRUCKS !!!

•TRUCK DRIVERS ARE WELCOME!!!
$0,65 per mile!!!!!!!!

•Be part of our family 
•Best deal for your truck !!!

•Gold offer with more than 5 trucks !!!!

•ONE TRUCK ONE DISPATCHER ONLY!
•DRY VAN 53ft LOADS

********Call Mike 773-683-1392*********
","
compensation: $$$$$ OWNER OPERATORS WANTED $$$$$$

employment type: full-time

"
236,Call Center - SiriusXM - $12 / hour + Commisions,N/A,Feb  8,https://houston.craigslist.org/lab/d/houston-call-center-siriusxm-12-hour/7274417441.html,"

QR Code Link to This Post


In this position, you will be contacting existing customers through leads provided by SiriusXM, renewing their subscription and providing exceptional customer service. As a Renewal Specialist you will also be responding to inquiries about different products, services and processing payments. 

Why Work for THG Inc:
Our biggest advantage is our culture. Our values are Integrity, Teamwork, and Courage. This shared belief in what we, as a group, stand for along with a clear understanding of how we show up to work every day is what brings us together and allows us to create and collaborate across the entire team. 

What we offer:
To keep our employees happy, our clients happy, and to assist us in growing, certain employee behaviors are required to maintain goodwill with the company as well as with our clients. To help with this, THG provides above average compensation, which will include:
Can work from home after the first 2 weeks in the office! 
Must have your own Computer, Webcam, USB Headset, and Internet Connection. (Cannot use a MAC laptop)

Benefits
• Paid Training
• Paid Time off (PTO) and holiday pay after one year
• After your first 90 Days you will receive a free SiriusXM subscription
• Health Insurance

Pay Rate:
• $10.00/hr + $2/hr attendance bonus
• (Commission Paid Out Weekly in Cash)
• We will also have bonuses as well as Daily, Weekly or Monthly Contest
• Pay: $10.00 - $12.00 per hour + Commisions

This Job Is Ideal for Someone Who Is:
• Dependable -- more reliable than spontaneous
• People-oriented -- enjoys interacting with people and working on group projects
• Detail-oriented -- would rather focus on the details of work than the bigger picture

COVID-19 Precaution(s):
• We are listed as an essential business. To keep our employees safe, we will provide cleaning supplies, hand sanitizer, and disposable masks.
• Temperature screenings
• Social distancing guidelines in place
• Sanitizing, disinfecting, or cleaning procedures in place

Click Here to Apply with your Resume ","
compensation: $12 / hour + Paid Training + Commisions + Benefits

employment type: full-time

"
237,MEDICAL ASSISTANT,MEDICAL CENTER,Feb  8,https://houston.craigslist.org/hea/d/houston-medical-assistant/7274417256.html,"

QR Code Link to This Post


***Medical Assistant/*bilingual and OB/GYN experience a plus!
DUTIES INCLUDE:
-rooming patients
-taking vitals
-help the physician with minor procedures in office
-calling patients with their results
-administering injections
-stocking patient rooms
-calling in prescriptions
*****We need someone who is organized, with excellent time management skills
and who is able to multi task in a fast paced setting    ","
compensation: DOE

employment type: full-time

"
238,"$$ MONDAY-FRIDAY REGIONAL POSITION $2,000 SIGN ON BONUS $$",N/A,Feb  8,https://houston.craigslist.org/trp/d/houston-monday-friday-regional-position/7274415458.html,"

QR Code Link to This Post


TransForce is hiring for CDL A REGIONAL Drivers in HOUSTON, TX$2,000 SIGN ON BONUS - RECEIVE 1ST PAYOUT WITH YOUR 1ST PAYCHECK REGIONAL Flatbed Position3-5 Days Out & Weekends Off!Great EquipmentLoad securing and tarping when necessaryCall Ben or Greg for more details @ 713-781-0948Click Here To Apply Online!Requirements   Must Have Valid CDL-AMust Have Flatbed Driving ExperienceMUST HAVE CLEAN MVR AND WORK HISTORYBenefits   Over Time Pay: After 40 HoursPaid Holidays, Paid Sick Days and Paid Bonus Time For Vacation and Personal DaysHealth, Vision and Dental Benefits401K retirement plan with company matchRegular Home Time You Can Count On!Tags: A, B, bed, Benefits, box, CDL, CDLA, CDLB, city, Class, commercial, company, day, daily, dedicated, delivery, driver, drivers, driving, drop, dump, every, experience, flat, flatbed, good, great, help, hiring, home, hook, hour, pay, paid, job, jobs, license, local, low, lowboy, month, new, no, off, opportunity, overtime, regular, regional, safe, safety, sick, shift, shuttle, steady, straight, tank, time, touch, truck, trucking, trucker, trailer, transportation, tri, vacation, holiday, van, wanted, year, 53, 48, League City, Pasadena, Pearland, Sugar Land, Cypress, The Woodlands, Baytown, Conroe, Deer Park, Friendswood, Galveston, Lake Jackson, La Porte, Missouri City, Rosenberg, Texas City, Atascocita, Kingwood, Channelview, Mission Bend, Spring, Alvin, Angleton, Bellaire, Clute, Dickinson, Freeport, Galena Park, Humble ,Jacinto City ,Katy ,La Marque, Richmond, Santa Fe, Seabrook, South Houston, Stafford, Tomball, Webster

","
compensation: $1,500.00 weekly average

employment type: full-time

"
239,NOW HIRING - MORTUARY TECHNICIAN,HOUSTON,Feb  8,https://houston.craigslist.org/lab/d/sugar-land-now-hiring-mortuary/7274414947.html,"

QR Code Link to This Post


NOW HIRING - Mortuary Technician (Houston)
compensation: $1200 Bi-Weekly
employment type: full-time 

***PLEASE READ CAREFULLY PRIOR TO CONTACTING US***


Only if you meet all of the criteria listed on this post, CALL to request an interview. Text inquiries will not be considered.
--------------

What we are looking for:

Employees who are flexible with their availability, clean-cut with a professional demeanor. 

Responsibilities:

- Assisting Funeral Director/Embalmer with any duties necessary

- Transporting from point A to B.

- Occasional out of area transports

- Maintaining a clean vehicle/equipment ( vehicle will be provided by company)

- Making sure company vehicle receives regular maintenance such as oil changes etc.. (paid for by company)

Requirements:

- MUST have a valid drivers license

- Clean driving record 

- Must be able to manage their time and work efficiently

- Must be capable to lift heavy on occasion

- Motivated to work and be a part of a great team

- Critical Thinking

- Emotional Intelligence

- Compassionate and Empathetic

- Trustworthy and self-efficient

Required Experience:

- None, all training will be provided by company

- Experience in Forensic/Mortuary affairs is a plus and will be considered when discussing salary

Required Education:

- A minimum of a High School Diploma or it's Equivalent

- Any additional education will be considered for salary

Job Types: Full-time, Contract


————————-

Orlando Ochoa - Manager 

TEXT INQUIRIES WILL NOT BE CONSIDERED 

Please call between 10am - 6pm M-F for initial phone interview. If you’re considered as a candidate a formal interview will be arranged.    ","
compensation: $1200

employment type: full-time

"
240,Allstate Licensed Sales/Service Agent,Memorial City/Katy,Feb  8,https://houston.craigslist.org/sls/d/houston-allstate-licensed-sales-service/7274414455.html,"

QR Code Link to This Post


Allstate agent seeking experienced licensed agents for growing agency.  Must have TX Property and Casualty license and Allstate experience preferred.  Position is primarily sales.  Full Time, Base plus bonus plus commission.  Split Home and Office schedule.    ","
compensation: Base + Commission + Bonus

employment type: full-time

"
241,Houston to Tulsa Dedicated Position! NEED Owner Ops & Company Drivers,Houston,Feb  8,https://houston.craigslist.org/trp/d/houston-houston-to-tulsa-dedicated/7274412824.html,"

QR Code Link to This Post


Universal Capacity Solutions is seeking Company Drivers & Owner Operators out of the Houston area!

What We Offer Company Drivers: 
-Dedicated Lane from Houston - Tulsa. 
-Home 2-3 nights a week & on weekends. 
-Take home $1,350 a week! 
-Earn an extra $400 a week with HAZ endorsement!
-Medical/Dental/Vision Benefits
-Paid Holiday/Vacation/Personal Time
-401K
-$2,500 SIGN ON & REFERRAL BONUS. 

What We Offer Owner Operators: 
-Dedicated Lane from Houston - Tulsa.
-Home 2-3 nights a week & on weekends. 
-Take home $3,300 a week. 
-Earn an extra $800 a week with HAZ endorsement!
-Plate & Insurance programs available. 
-Online Orientation. 
-$2,500 SIGN ON & REFERRAL BONUS. 

Requirements: 
Class A CDL 
Must have 6 months of verifiable tractor/trailer experience

Stop in and apply today!
7800 Little York Rd, Houston, TX 77016

Call Pat at 281-452-3191 or Dylan at 586-920-0100 ext. 2224

Owner Operators & Company Drivers apply at: https://careers.universallogistics.com
-Apply under Universal Capacity Solutions
*Owner Ops apply under Contractor and Leased Driver*

Make sure to put Dylan Braden as the Recruiter!    ","
compensation: Call for more information

employment type: full-time

"
242,CDL DRIVERS NEEDED,STREMWOOD,Feb  8,https://houston.craigslist.org/trp/d/bensenville-cdl-drivers-needed/7274412087.html,"

QR Code Link to This Post


SMALL COMPANY LOOKING FOR DRIVER WITHIN MINIMAL 2 YEARS OF EXPERIENCE. WE PAY
$0.65 - $ 0.70 PER MILE OF CLEAN DRIVING RECORD. CALL US FOR MORE INFORMATION    ","
compensation: SAFETY BONUS FOR NO VIOLATION DOT REPORT

employment type: full-time

"
243,"Intermodal O/O's NEEDED - $2,000 SIGN ON BONUS.",Houston,Feb  8,https://houston.craigslist.org/trp/d/houston-intermodal-os-needed-sign-on/7274412033.html,"

QR Code Link to This Post


What we offer:
•	Come Drive for Universal Intermodal!!
•	Gross $3,000+ per week
•	Home at night – Local & Regional runs available
•	No forced Dispatch
•	Discounted onsite fueling & free onsite parking
•	Bilingual dispatch!! 
•	$2000 Sign on Bonus!!

What we require:
•	TWIC CARD
•	Must be 21 years of age
•	Class A CDL
•	Minimum 6 months Tractor/Trailer experience 

Contact:
•	Elizabeth @ 713-431-0971
•	Dylan @ 586-834-4075 x 2224
•	Facundo @ 713-431-0999 (para espanol)

Stop in and apply at: 
7800 East Little York
Houston, TX 77016

Owner Operators apply at: https://careers.universallogistics.com

*Owner Ops apply under Contractor and Leased Driver & put Universal Intermodal as the Company*    ","
compensation: Call for more info.

employment type: full-time

"
244,Join a Culture of Consistency—Drive for HO Wolding,N/A,Feb  8,https://houston.craigslist.org/trp/d/join-culture-of-consistencydrive-for-ho/7274411329.html,"

QR Code Link to This Post


Do you love the road but hate the drama? You’ll appreciate HO Wolding, where we put stability first. Named one of the Best Fleets to Drive For, we offer steady work, plentiful miles and regular paychecks. Right now, we’re looking for drivers that will primarily run from Houston/San Antonio to points in TN, GA and the midwest.Started as a family business in 1935, HO Wolding now has more than 300 tractors on the road. We place a premium on safety; in fact, in 2019 we were acquired by Bison Transport, a Canadian fleet recognized as one of North America’s Safest Fleets. As a result, we fit into that sweet spot between small-town values and big-company resources and efficiency. We’re eager to welcome you to a company with a positive culture where you’ll feel right at home.HO Wolding ApplicationWhy Drive for Wolding?*Home every other weekend*Practical Mile*Up to $.545 per mile*Top 20% of drivers earn >$77,000*$2,000 sign on bonus ($500 once assigned truck)*2,200-2,600 miles each week*Per Diem Pay=$66/day*Detention Pay=$20/hr after 2 hours*Longevity Pay*50% Drop and Hook*New Pay PackageClick Here to ApplyDriver Pay Details5 Years of Experience= $.51 per mile + $.035 quarterly bonus3 Years of Experience= $.48 per mile + $.035 quarterly bonus1 Year of Experience= $.465 per mile + $.035 quarterly bonusRecent Grad= $.425 per mile plus $.025 quarterly bonusClick Here for Pay SummaryClick Here to ApplyDriver Benefits-Medical, dental and vision insurance, plus flexible spending options-401(k) savings plan with company match-Paid orientation and time off-Up to $10,000 tuition reimbursement (paid at $200/month) for qualified driversClick Here for Benefit SummaryDriver Qualifications*Valid Class A Commercial Driver's License (CDL)*Automated transmission CDL restriction allowed*6 months of recent experience or recent driving school graduates*No major accident or tickets in the last 3 years*Safe place to part the truck and trailer during home timeApply Here ","
compensation: $55,000 - $70,000

employment type: full-time

"
245,!!!!START ASAP!!!!NEEDED/SE BUSCA Construction General Labor KATY AREA,KATY AREA,Feb  8,https://houston.craigslist.org/lab/d/katy-start-asapneeded-se-busca/7274410741.html,"

QR Code Link to This Post


We are now hiring construction general labor personnel for the KATY AREA. Please see details below and respond to this ad with your NAME and CONTACT INFORMATION to be placed as soon as possible.

JOB DUTIES:
-Assisting superintendents 
-Jobsite clean-up (sweeping, discarding trash)
-Handling materials
-Shoveling and digging dirt 
-Loading/unloading trucks
Duties may change daily

*Shifts are typically 7:00am - 4:00pm
* Monday - Friday (some weekends)

Requirements:
Proof of eligibility to work in the United States

Respond with NAME and CONTACT NUMBER if interested! Thank you! 

EEO M/F/V/D

----------------------------------------------------------------------------------------------------------------
Estamos contratando trabajadores de labor general para el area de KATY PARK. Por favor lea los detalles debajo y responda al correo con su NOMBRE COMPLETO y un NUMERO DE CONTACTO para comunicarnos LO MAS PRONTO POSIBLE.

Deberes del Trabajo incluyen:
*Asistir a superintendentes
*Limpieza del sitio de trabajo (barrer, tirar basura)
*Mover escombros
*Manipular y acomodar materiales
*Cargar y descargar Camiones o Trocas con Material
Los labores y deberes del trabajo pueden cambiar con el paso de los dias.

*Turnos son tipicamente desde 7:00am - 4:00pm
* De lunes a Viernes y algunos Sabados

Requisitos:
*Documentacion valida para trabajar en los Estados Unidos.

Si estas interesado en la oferta por favor responde a este anuncio!
Muchas Gracias!

EEO M/F/V/D    ","
compensation: $9.50hr (OT = 1.5X)

employment type: full-time

"
246,Solicito ayudante,Barker cypress,Feb  8,https://houston.craigslist.org/lab/d/katy-solicito-ayudante/7274408324.html,"

QR Code Link to This Post


Necesito ayudante en remodelacion  con ganas de trabajar
$ 10 p/hora
 si estas interesado 
Mandamame un texto
832 621 9564    ","
compensation: $ 10 p/h

employment type: full-time

"
247,Hiring Nannies & Babysitters ASAP!,N/A,Feb  8,https://houston.craigslist.org/edu/d/houston-hiring-nannies-babysitters-asap/7274407708.html,"

QR Code Link to This Post



Care.com helps connect caregivers with families seeking high-quality care for their loved ones. For caregivers, Care.com is a job & benefit hub offering access to full-time, part-time, and one-time jobs, plus access to benefits. Caregivers may choose their schedule and set their own rate. All experience levels are welcome.
 If you are a college student, graduate student, education major, teacher, early childhood educator, tutor, nurse, nursing student, day care worker, etc., Care.com is the place to find great jobs that fit your schedule and your skill set.
Search words: childcare jobs, child care jobs, babysitting jobs, baby sitting jobs, sitter jobs, babysitter, nanny jobs, nannying, nanny for hire, au pair jobs, au pair, daycare jobs, day care, after-school jobs, afterschool jobs, tutoring jobs, caregiver jobs, special needs caregiver jobs, caring for children, temporary work.
Click Here to Apply!

 ","
compensation: To Be Discussed

employment type: employee's choice

"
248,Skilled Trailer Mechanic,Pearland,Feb  8,https://houston.craigslist.org/trd/d/pearland-skilled-trailer-mechanic/7274405511.html,"

QR Code Link to This Post


We are a growing semi-trailer manufacturer building specialty trailers for various industries.  

Job:  Trailer Mechanic

Responsibilities:
- Install all brand new components on the newly painted trailer frames
- Install air tanks with valves
- Install brake hoses, connect them from air tanks to brake chambers on axles
- Install electrical components (harness, lights, etc)
- Install axles, wheels and tires
- Check the leaks for air
- Align the axles using laser alignment machine
- and many other responsibilities associated with the trailers

Experience:

- Should have 4-5 years experience
- Familiar with different types of axles (spring suspension / air suspension)
- Knowledge of brake system (brake pads, brake chambers, etc)
- Knowledge of wheel end (spindle, bearings, hubs, drums, etc)
- Knowledge of ABS / ECU system
- Should be highly mechanical oriented.  

If you have the experience outlined above, you will be given high priority and will be offered good pay.  Otherwise, please do not waste our time.

","
compensation: DOE, negotiable

employment type: full-time

"
249,Perform Live Demonstrations Inside Stores Full Time($800-$2000 a week),Houston and surrounding areas,Feb  8,https://houston.craigslist.org/fbh/d/sugar-land-perform-live-demonstrations/7274405153.html,"

QR Code Link to This Post


Perform Live Demonstrations Inside Stores Full Time($800-$2000 a week) 

compensation: $800-$2000 per week draw/commission
employment type: full-time 

We are America's fastest growing in-store product demonstration company and we are expanding in your area. We work inside major retail chains promoting our own line of cutlery. We are looking for career minded SELF-STARTERS with HIGH ENERGY, MOTIVATION, and a STRONG DESIRE TO EXCEL. Come Grow with us!

This is a full time product demonstration sales position with great opportunity for rapid growth within the company. This is a great opportunity for someone with good work ethic and the desire to succeed!

**Must be over 21 and have own personal vehicle to travel from store to store. 
**Must be able to work weekends. 
**Professional appearance and attitude required. 
**Ability to lift 30lbs. 
**Excellent communication skills required.
Please call Sherrie @ 903-819-5009 or email sherrie@hesslerworldwide.com
","
compensation: $800-$2000 per week draw/commission with guarantee minimum pay

employment type: full-time

"
250,Perform Live Demonstrations Inside Stores Full Time($800-$2000 a week),Houston and surrounding areas,Feb  8,https://houston.craigslist.org/ret/d/sugar-land-perform-live-demonstrations/7274405154.html,"

QR Code Link to This Post


Perform Live Demonstrations Inside Stores Full Time($800-$2000 a week) 

compensation: $800-$2000 per week draw/commission
employment type: full-time 

We are America's fastest growing in-store product demonstration company and we are expanding in your area. We work inside major retail chains promoting our own line of cutlery. We are looking for career minded SELF-STARTERS with HIGH ENERGY, MOTIVATION, and a STRONG DESIRE TO EXCEL. Come Grow with us!

This is a full time product demonstration sales position with great opportunity for rapid growth within the company. This is a great opportunity for someone with good work ethic and the desire to succeed!

**Must be over 21 and have own personal vehicle to travel from store to store. 
**Must be able to work weekends. 
**Professional appearance and attitude required. 
**Ability to lift 30lbs. 
**Excellent communication skills required.
Please call Sherrie @ 903-819-5009 or email sherrie@hesslerworldwide.com
","
compensation: $800-$2000 per week draw/commission with guarantee minimum pay

employment type: full-time

"
